epoch,split,loss
0,train,0.06964475673543934
0,val,0.03125752254237479
1,train,0.026389256280833624
1,val,0.02345461719416486
2,train,0.022326637056691474
2,val,0.02064486214230522
3,train,0.020277627596100502
3,val,0.020190613391919247
4,train,0.019321082859472212
4,val,0.01886930128488059
5,train,0.018391996530314245
5,val,0.01782063037430801
6,train,0.017673718043614742
6,val,0.017067543004814986
7,train,0.01702075930496921
7,val,0.016429251750199186
8,train,0.01666428365595319
8,val,0.01585961767463401
9,train,0.016148535106779854
9,val,0.016018771637861903
10,train,0.015721392768139452
10,val,0.015674793378661234
11,train,0.015563838862509423
11,val,0.014921300699369007
12,train,0.015274490458753953
12,val,0.014874277986026701
13,train,0.015076070225585731
13,val,0.014795495833927828
14,train,0.014754251859446555
14,val,0.014564671073132729
15,train,0.014682156798513656
15,val,0.015138301944818352
16,train,0.014388300358916604
16,val,0.014313314684306654
17,train,0.014126009862843484
17,val,0.014253467150306265
18,train,0.014136091167457357
18,val,0.013802941582097217
19,train,0.013933026439092423
19,val,0.01362983029508314
